Rotation Angle (deg),Test Accuracy
0,0.53612
5,0.54526
10,0.51398
15,0.51356
20,0.51744
25,0.51416
30,0.52194
35,0.52848
40,0.52592
45,0.52468
50,0.5248
55,0.52538
60,0.52536
65,0.5261
70,0.51944
75,0.51756
80,0.51712
85,0.50548
90,0.5298
95,0.53772
100,0.51532
105,0.5206
110,0.51642
115,0.51362
120,0.51364
125,0.51938
130,0.5175
135,0.51212
140,0.51282
145,0.51482
150,0.51664
