Rotation Angle (deg),Test Accuracy
0,0.52748
5,0.50988
10,0.47718
15,0.46462
20,0.4534
25,0.45176
30,0.45144
35,0.45136
40,0.45222
45,0.44646
50,0.4385
55,0.43022
60,0.4317
65,0.4246
70,0.43426
75,0.43602
80,0.45766
85,0.47984
90,0.51156
95,0.48708
100,0.45038
105,0.438
110,0.43028
115,0.4307
120,0.4298
125,0.42662
130,0.43286
135,0.4402
140,0.43654
145,0.4374
150,0.43394
155,0.43266
160,0.45784
165,0.46278
170,0.48082
175,0.50294
180,0.53262
