Rotation Angle (deg),Test Accuracy
0,0.57336
5,0.57482
10,0.54846
15,0.55056
20,0.5482
25,0.54362
30,0.53824
35,0.53474
40,0.53766
45,0.52858
50,0.53202
55,0.53716
60,0.54404
65,0.5467
70,0.54828
75,0.54274
80,0.54062
85,0.53228
90,0.54912
95,0.55646
100,0.53442
105,0.53916
110,0.53922
115,0.53826
120,0.5366
125,0.53778
130,0.52912
135,0.52712
140,0.52542
145,0.526
150,0.53166
155,0.53052
160,0.5322
165,0.52828
170,0.53432
175,0.53952
180,0.56562
