Rotation Angle (deg),Test Accuracy
0,0.50482
5,0.45252
10,0.41868
15,0.39308
20,0.40378
25,0.38226
30,0.37188
35,0.38158
40,0.40148
45,0.42518
50,0.4173
55,0.41702
60,0.4103
65,0.40502
70,0.40028
75,0.40616
80,0.40272
85,0.45632
90,0.4871
95,0.42642
100,0.3814
105,0.37174
110,0.36808
115,0.36048
120,0.37042
125,0.3689
130,0.39366
135,0.40378
140,0.4157
145,0.41894
150,0.42508
155,0.43524
160,0.44214
165,0.4319
170,0.4524
175,0.47802
180,0.52144
