Rotation Angle (deg),Test Accuracy
0,0.98978
5,0.98588
10,0.9841
15,0.98202
20,0.98008
25,0.97476
30,0.96866
35,0.96176
40,0.95586
45,0.95128
50,0.9537
55,0.9598
60,0.96686
65,0.97298
70,0.97622
75,0.98086
80,0.98388
85,0.98686
90,0.98978
95,0.98588
100,0.9841
105,0.98202
110,0.98008
115,0.97476
120,0.96866
125,0.96176
130,0.95586
135,0.95192
140,0.9537
145,0.9598
150,0.96686
155,0.97298
160,0.97622
165,0.98086
170,0.98388
175,0.98686
180,0.98978
